Artist,Name,Text
13CHILDREN,멤버,"이름: 김태홍, 역할: 드럼, 퍼커션, 상세정보: 어릴 적 피아니스트인 이모의 영향으로 재즈 피아노를 배우기 시작하면서 음악을 시작했고, 실용음악 전공을 지망하며 싱어송라이터 및 작곡가의 꿈을 키우고 있다. 현재 13CHILDREN의 드러머로 활동 중이다. 재즈와 발라드도 좋아하며, 축구와 웨이트 트레이닝을 취미로 즐기며 헬스장을 부업으로 운영 중이다.
이름: 김제환, 역할: 기타리스트, 상세정보: 학창시절 레슬링 경기에서 선수 등장 시 나오는 테마곡을 듣기 시작하면서 밴드 음악에 입문하였다. 고등학교 재학시절부터 홍대의 여러 밴드를 옮겨 다니다가 10년 만에 13CHILDREN에 정착하였다. 멜로딕한 리프를 기반으로 작곡에 참여하며 13CHILDREN의 사운드의 한 축을 담당하고 있다.
이름: 기성, 역할: 보컬, 베이시스트, 상세정보: 인천의 작곡가로, 밴드 13CHILDREN의 보컬 및 베이시스트이다. 메탈씬에서 활동하던 아버지의 영향으로 다양한 음악을 접하였고, 2017년 [Again], 2020년 [Episode 1], 2021년 [Before Midnight] 등 다양한 전자음악을 선보이며 음악 활동을 시작했다. 2022년 13CHILDREN을 결성하여 밴드의 대부분의 작사 및 작곡을 맡고 있으며, 힘 있는 사운드 메이킹을 통해 자신만의 색을 담아내고 있다.
"
13CHILDREN,결성,2022년
13CHILDREN,데뷔,2023년 11월 27일
13CHILDREN,데뷔,Pretty Stupid Song
13CHILDREN,활동유형,그룹
13CHILDREN,장르,"인디음악, 록/메탈"
13CHILDREN,소개,"13CHILDREN(서틴칠드런)은 2022년 밴드 음악다운 음악을 하고 싶은 인천의 동네 친구들이 모여 결성된 3인조 밴드로, 폭발적이고 직선적인 팝 펑크의 힘과 얼터너티브 락의 자유로운 구조 및 사운드를 받아들여 그들만의 탄탄하면서도 독특한 음악을 선보이고 있다. 결성 직후 홍대를 위주로 인천, 경기도 등 수도권 내 라이브 클럽에서 왕성한 활동을 하며 인디씬에 이름을 알리기 시작했고, 2023년 첫 싱글 [Pretty Stupid Song /// Butter Knife]를 발매하여 리스너들로부터 많은 기대를 모으고 있는 밴드이다."
21SCOTT,아티스트명,21스캇 (21Scott)
21SCOTT,멤버,"이름: 이태호, 역할: 기타리스트
이름: 김성훈, 역할: 보컬
이름: 남상준, 역할: 드러머
"
21SCOTT,결성,2006년
21SCOTT,데뷔,2006년
21SCOTT,국적,대한민국
21SCOTT,장르,"인디, 록/메탈"
21SCOTT,소개,"2001년 그런지 밴드 유테로와 펑크 밴드 런캐럿의 성훈과 태호가 만나 멜로 펑크 프로젝트 밴드를 구상하게 되었다. 런캐럿의 드러머 남상준이 합류하여 3인조 라인업이 완성되었다. 그들은 스코틀랜드의 전통 복장을 연상시키는 알록달록한 색상과 한 번 들으면 잊을 수 없는 멜로디의 펑크 록을 추구하며, 전국을 누비며 라이브 공연을 펼쳤다. 2004년부터 군 제대 후 다시 활동을 재개하여 21SCOTT으로 본격적인 활동을 시작했다. 수많은 라이브 공연을 통해 실력을 인정받았으며, 쌈싸페 출전 밴드로도 선정되었다. 현재 일본을 발판으로 음반 활동과 공연을 계획 중이다."
21SCOTT,인기곡,"곡명: 이젠 내가 있을게, 앨범: Rock Star
곡명: I Will Be Missing You, 앨범: Rock Star
곡명: Paindora's Box, 앨범: Lost In California
곡명: Zero Sum Rule, 앨범: Zero Sum Rule & Three Rock Stars
곡명: Rock Star, 앨범: Rock Star
"
21SCOTT,앨범,"앨범명: Rock Star, 발매일: 2014.03.27, 유형: 정규
앨범명: Zero Sum Rule & Three Rock Stars, 발매일: 2007.07.27, 유형: 싱글
앨범명: Lost In California, 발매일: 2006.01.21, 유형: 정규
"
21SCOTT,바이오그래피,"2001년 그런지 밴드 유테로와 펑크 밴드 런캐럿의 성훈과 태호가 만나 멜로 펑크 프로젝트 밴드를 구상하게 되었다. 런캐럿의 드러머 남상준이 합류하여 3인조 라인업이 완성되었다. 그들은 스코틀랜드의 전통 복장을 연상시키는 알록달록한 색상과 한 번 들으면 잊을 수 없는 멜로디의 펑크 록을 추구하며, 전국을 누비며 라이브 공연을 펼쳤다. 2004년부터 군 제대 후 다시 활동을 재개하여 21SCOTT으로 본격적인 활동을 시작했다. 수많은 라이브 공연을 통해 실력을 인정받았으며, 쌈싸페 출전 밴드로도 선정되었다. 현재 일본을 발판으로 음반 활동과 공연을 계획 중이다."
6eyes (JPN),아티스트명,6eyes
6eyes (JPN),멤버,"이름: 츠치야 치카, 역할: 보컬, 기타
이름: 쿠와야마 코타카, 역할: 드럼
이름: 사토 렌, 역할: 베이스
"
6eyes (JPN),결성,2002년
6eyes (JPN),국적,일본 (나고야)
6eyes (JPN),장르,포스트 펑크
6eyes (JPN),소개,"6eyes는 2002년에 결성된 일본 나고야 출신의 포스트 펑크 밴드로, 멤버 교체를 거쳐 현재는 츠치야 치카(보컬, 기타), 쿠와야마 코타카(드럼), 사토 렌(베이스)으로 구성된 3인조 밴드이다. 2022년 12월, 현 체제의 첫 번째 정규 앨범 ‘NVMD, FCkOF’를 발매했다. 자극적이고 무심코 춤을 추게 만드는 라이브 퍼포먼스와 P.I.L, CAN, 초기 PINK FLOYD, GANG OF FOUR 등의 영향을 받은 펑크와 사이키델릭 록을 자유자재로 넘나드는 사운드로 언더그라운드 라이브 하우스 씬에서 컬트적인 평가를 받고 있다."
6eyes (JPN),음악 스타일,P.I.LCAN초기 PINK FLOYDGANG OF FOURJoy DivisionFontaines D.C.Deerhunter
6eyes (JPN),앨범,"앨범명: NVMD, FCkOF, 발매일: 2022년 12월, 유형: 정규
"
6eyes (JPN),특징,"강렬한 펑크 사운드와 아름다운 멜로디로 현재의 포스트 펑크를 풀어내는 6eyes는 과거의 포스트 펑크, 싸이키델릭에 뿌리를 두고 있다. 라이브 공연에서 과거와 현재의 포스트 펑크가 만나 표출되는 아름다운 시너지를 느낄 수 있다."
828,아티스트명,828
828,멤버,"이름: 안강일, 역할: 보컬, 기타
이름: 전훈, 역할: 기타
이름: 양준혁, 역할: 베이스
이름: 김민승, 역할: 드럼
"
828,결성,2018년
828,국적,대한민국
828,장르,인디
828,소속사,불가마 싸운드
828,소개,"828은 대한민국의 인디밴드로, 첫 번째 음원을 8월 28일에 발매하여 '828'이라는 이름을 갖게 되었다. 미국의 재즈밴드 Band 828과의 관계는 불명이다."
828,앨범,"앨범명: SLOTH, 발매일: 2018.08.28, 트랙리스트: ['SLOTH']
앨범명: 지향, 발매일: 2019.05.30, 트랙리스트: ['잠', 'SLOTH', 'PULL', '기억을 지우려', '지향 (DEMO)']
앨범명: Already Loving You, 발매일: 2019.12.02, 트랙리스트: ['Already Loving You']
앨범명: 오늘이 나를 괴롭히고, 어제가 다시 찾아와도, 발매일: 2020.04.24, 트랙리스트: ['텅 빈', '나, 그리고', 'In My Mind', '아직 안정함']
"
9B2,아티스트명,9B2
9B2,멤버,"이름: 조유찬, 역할: 보컬, 기타
이름: 권진혁, 역할: 키보드
이름: 이덕원, 역할: 드럼
이름: 백정현, 역할: 베이스
이름: 김지원, 역할: 기타
"
9B2,결성,2018년
9B2,국적,대한민국
9B2,장르,포스트록얼터너티브록
9B2,소속,서울시립대학교
9B2,소개,"9B2는 2018년 서울시립대학교에서 결성된 5인조 밴드로, 각기 다른 배경과 취향을 가진 멤버들이 모여 독특한 내면세계를 음악과 다양한 시공간적 경험으로 표현하고 있다. 작곡, 가창, 연주뿐 아니라 음악 제작 과정 전체와 비주얼라이저, 무대 연출 등에 멤버 전체의 의견을 반영해 독특한 경험을 선사하고자 한다."
9B2,앨범,"앨범명: ., 대표곡: 점 (완전히 사라지는 방법), 발매일: 2019, 트랙리스트: ['점 (완전히 사라지는 방법)', '토니', '잭', '점선 + Asphalt Gondola', 'Interlude']
"
9B2,활동,"활동명: 대학교 연합공연, 시작일: 2019.01
활동명: 대학교 연합공연, 시작일: 2020.02
활동명: 서울시립대학교 제퍼나이어 2학기 정기공연, 시작일: 2022.01
활동명: 대학교 연합공연, 시작일: 2022.02
"
A'dress,아티스트명,A'dress (어드레스)
A'dress,멤버,"이름: 제임스 (김경민), 역할: 기타리스트, 상세정보: 10대 후반부터 꾸준히 음악 Scene에서 활동해 오다가 2016년 하드록 밴드 ‘레미디’에서 활동해 온 기타리스트로서 선 굵은 하드록 사운드를 선보이고 있지만 사실 개인적으로는 꾸준히 모던록 넘버들을 작곡해 왔다.
이름: 김자빈, 역할: 보컬
이름: 조호연, 역할: 보컬
"
A'dress,결성,2020년
A'dress,국적,대한민국
A'dress,장르,록/메탈인디음악
A'dress,소개,"10대 후반부터 꾸준히 음악 Scene에서 활동해 오다가 2016년 하드록 밴드 ‘레미디’에서 활동해 온 기타리스트 제임스(김경민)는, 기타리스트로서 선 굵은 하드록 사운드를 선보이고 있지만 사실 개인적으로는 꾸준히 모던록 넘버들을 작곡해 왔다. 2020년, 그 곡들을 함께 준비했던 동갑내기 보컬리스트 티나(강명신)와 함께 마침내 예전 이름 그대로 그 결과물을 세상에 선보이게 된다. 그 밴드가 바로 ‘어드레스’이고, 처음으로 세상에 선보이는 싱글이 바로 이 ‘New Song’이다. ‘New Song’을 시작으로, 새로운 멤버와 함께 싱글 발매, 공연 등 다양한 활동을 준비 중인 이 듀오의 행보는 이미 ‘주목 대상’이다."
A'dress,활동유형,그룹
A'dress,활동연대,2020년대
ABTB,아티스트명,ABTB (Attraction Between Two Bodies)
ABTB,멤버,"이름: 강대희, 역할: 드럼, 활동기간: 2014년~현재
이름: 박근홍, 역할: 보컬, 활동기간: 2014년~현재
이름: 장혁조, 역할: 베이스, 활동기간: 2014년~현재
이름: 황린, 역할: 기타, 활동기간: 2016년 5월~현재
이름: 곽상규, 역할: 기타, 활동기간: 2019년 11월~현재
"
ABTB,결성,2014년
ABTB,국적,대한민국
ABTB,장르,얼터너티브 록하드 록
ABTB,소개,"ABTB(Attraction Between Two Bodies)는 대한민국의 록 밴드이다. 얼터너티브-하드 록을 기반으로 다양한 음악적 층위를 쌓아 올린 사운드를 연주하며, 헤비한 기타 리프와 포효하는 보컬, 가슴을 울리는 리듬 섹션을 특징으로 한다. 2014년 결성 이후 네이버 온스테이지, EBS 공감, 지산 록페스티벌 등의 무대에 섰으며 한국대중음악상을 통해 그 가치를 인정받았다."
ABTB,수상,"년도: 2017, 상: 한국대중음악상 최우수 록 음반
년도: 2021, 상: 한국대중음악상 최우수 록 음반/노래
"
ABTB,디스코그래피,"정규 앨범:
앨범명: Attraction Between Two Bodies, 발매일: 2016년 10월 7일, 트랙리스트: ['Artificial', '시대정신', 'Zeppelin', '할렐루야', 'Matador', '별 헤는 밤', 'Infusion', 'ESC', 'Love Of My Life', '국면전환', 'Out Of Town', 'Complete']
앨범명: daydream, 발매일: 2020년 5월 1일, 트랙리스트: ['nightmare', 'a-void', '인정투쟁', 'my people', 'paradox', 'neurosis', '무리수', 'tainted', 'daydream (feat. 신윤철)', '가이없다']
앨범명: iii, 발매일: 2022년 11월 8일, 트랙리스트: ['BULLY', 'JUMP (feat. 조규현)', 'BLUFFING (feat. 김바다)', 'EMPIRE (feat. 조규현)', 'SANTIAGO (feat. 조규현)', 'Take Me To (feat. 김바다)', 'END (feat. 이윤찬)', 'THRILLER (feat. 배인혁)', 'Gray Boy (feat. 이윤찬)']
싱글:
앨범명: 이중사고 (doublethink), 발매일: 2017년 10월 20일, 트랙리스트: ['이중사고 (doublethink)']
앨범명: 무임승차 (Free Rider), 발매일: 2017년 11월 26일, 트랙리스트: ['무임승차 (Free Rider)']
앨범명: 무리수, 발매일: 2020년 3월 1일, 트랙리스트: ['무리수']
앨범명: a-void, 발매일: 2020년 4월 1일, 트랙리스트: ['a-void']
컴필레이션 앨범:
앨범명: 튠업 헌정 앨범 신중현 THE ORIGIN, 발매일: 2017년 6월 14일, 트랙리스트: ['생각해']
앨범명: SUM [숨∞] 여덟 번째 그린플러그드 공식 옴니버스 앨범, 발매일: 2018년 4월 6일, 트랙리스트: ['숨 쉬고 싶어']
앨범명: 블랙홀 트리뷰트 - RE-ENCOUNTER THE MIRACLE, 발매일: 2019년 9월 3일, 트랙리스트: ['노을']
"
ABTB,활동,"년도: 2014, 활동내용: ['드러머 강대희, 베이시스트 장혁조, 보컬리스트 박근홍이 새로운 밴드를 결성하기로 결의', '기타리스트 곽민혁 합류', '밴드 결성 후 최초의 공연: SUNSHINE OF YOUR LOVE @FF']
년도: 2015, 활동내용: ['HALLUCINATORY PHANTASM @FREEBIRD2', '2015 NEW YEAR UNL @FREEBIRD2', 'The Goddamn Show No.4 @3thumbs', 'Daddy J 공연 @DADDY J', '팟캐스트 [라이브 나인틴] 출연', '엄마, 내일은 꼭 집에 갈게요 @롸일락', 'MADE OF STONE(석기시대 정기공연) @드림홀', '스트레인지 프룻 10주년 기념 공연 @스트레인지 프룻', 'WHO WE ARE?! VOLUME 3 @FF', 'GOGOS2 공연 @GOGOS2', '안녕?! 프리버드 @프리버드', '딴지 영진공 공개방송 @벙커1', '나의 광복: 노래, 여름밤을 훔치다 @서울광장', 'THE POWER @FF', '단독공연 @김치싸운드', 'ROCK&ROLL SATURDAY @타', '위버멘쉬 싱글 발매 쇼케이스 @뮤지스땅스', '제7회 라이브 클럽데이 @GOGOS2', '13층 EP 앨범 쇼케이스 @바다비', 'VOODOO CHILD @FF', 'AUTUMN SPLASH @마이크 임팩트 스퀘어 가든', '열일곱살의 버킷리스트 vol.7 @롤링홀', '잔다리 페스타 @디딤홀', 'Drive @FF', 'UNLIMITED VOL.1 @롤링홀', '튠업 16기 하반기 본선 쇼케이스', 'Rock&Roll Friday The 13th @FF', '먼데이 프로젝트 VOL.52 @FF', '튠업 16기 결선 쇼케이스', '튠업 16기 뮤지션 선정(ABTB, 네임택, 블루터틀랜드, 이채언루트)', 'ABTB 앨범 드럼 녹음(1집 녹음 시작)', '지옥의 뮤직애송이교육 @몽키비지니스']
년도: 2016, 활동내용: ['영화 <라이브클럽 그레이하운드> 출연', 'HIGHWAY TO HELL @FF', '라이브클럽데이 @고고스2', '네이버 온스테이지 촬영', '네이버 온스테이지 영상 공개', '네이버 온스테이지 인터뷰', 'R&F Vol.4 공연 @클럽 타', '썬더스트럭 @프리즘홀', '해쉬의 기타리스트 황린 합류', '차카게살자-단독공연 @클럽 타', 'Kinky Afro @FF', '클럽 타 10주년 기념공연 @클럽 타', '위대한 락데이 @FF', '미씽루씰 정규앨범 발매 쇼케이스 @에반스라운지', '지산 밸리록 페스티벌', '제천국제음악영화제', '서촌 브레이크 @몽키비지니스', '잔다리 페스타 @상상마당', '1집 <Attraction Between Two Bodies> 발매', '1집 <Attraction Between Two Bodies> CD 발매', '1집 발매 기념 쇼케이스 @CJ아지트', '자라섬음악경연 축하 공연', 'EBS 스페이스 공감 공연', 'Friday Super Rock Join Concert @고고스2', 'LIVE BUNKER1 어쿠스틱 공연 @벙커1', '경인방송 <한밤의 음악여행 성우진입니다> 출연', 'EBS <EBS 스페이스 공감> 공연 방영', '뮤슈쇼 Vol. 1 @FF', '2016 벅스 연말결산 - 올해의 락/메탈 앨범 선정', '네이버 뮤직 - 올해 놓치면 아까운 앨범 선정', '김홍범 PD의 내 마음대로 2016 베스트 선정', '음악취향Y - 올해의 음반/올해의 싱글 선정']
년도: 2017, 활동내용: ['음악웹진 <이명> 올해의 음반 선정', '<DOINDIE> 주최 팬 선정 2016 최고의 정규앨범', '라이브클럽데이 @고고스2', '몽키빚은있으(박근홍/장혁조 어쿠스틱) @몽키비즈니스', ""2017년 제14회 한국대중음악상 '올해의 앨범', '최우수 록 - 음반', '최우수 록 - 노래' 부문 후보 선정"", 'SHOWDOWN6 @프리즘홀', '이정우 1집 쇼케이스 게스트 @FF', ""2017년 제14회 한국대중음악상 '최우수 록 음반' 수상"", '뮤슈쑈 Vol. 2 @FF', 'MBC 난장 REALLIVE! 출연', '시대정신-대구 @헤비', '시대정신-부산 @인터플레이', '이승환 요물 IN SEOUL 게스트 공연', 'Bitter Sweet Symphony @FF', 'NEW GRUNGE IN 2017 @프리즘홀', 'LIVE CLUB DAY 27 @FF', 'NO MERCY FEST Vol.5 @프리즘홀', ""<신중현 트리뷰트 - THE ORIGIN> 앨범 발매. 싱글 '생각해'로 참여"", '60X3 LIVE @프리버드', '<신중현 트리뷰트 - THE ORIGIN> 앨범 발매 공연 @CJ아지트', '프라지트 시즌1 파이트 클럽 ABTB vs 로큰롤라디오', '지산 밸리록 페스티벌', 'WBC <밴드피플 라디오스타> 공개방송 @브이홀']
년도: 2018, 활동내용: ['BERRI TXARRAK 내한공연', 'KBS 옥탑방 라디오 출연', 'MBC 배철수의 음악캠프 출연', '이승환과 아우들 @신한카드홀', '제15회 한국대중음악상 오프닝 공연/최우수 록 노래 후보 @구로아트센터', '산디 북 콘서트 @초원서점', ""'시대정신' 뮤직비디오 공개"", '1집 LP 발매 기념 음감회 @바 스톤에이지', 'Are You Experienced @FF', ""<숨[SUM] 여덟 번째> 앨범 발매. 싱글 '숨 쉬고 싶어'로 참여"", '그런데 세월호는요? @서울시청 바스락홀', 'PLAN P 5 @공상온도', '그린플러그드 서울 2018', 'LIVE CLUB DAY @컨벤트', 'N.O.I.S.E. @FF', '페스티벌 PEACE @서울시청광장', 'SHOWDOWN 8 @프리즘플러스', 'CATCH ME @롤링스톤즈', 'Summer of 69 @FF', '잇츠팝 8주년 파티 @잇츠팝', '종로콜링 @복합문화공간 에무', 'Attraction Between Two Jebies @제비다방', 'Sex & Drugs & Rock & Roll @FF', ""I'M HARD AND I'M PROUD @FF"", '잔다리페스타 @FF', '항파두리 저항문화예술제 @항파두리 항몽유적지', '라이브클럽데이 @컨벤트펍']
년도: 2019, 활동내용: ['Broken by the Scream 내한공연 @FF', '도라페스트 4탄 @AOR', '글래머러스파티 Vol.7 @롤링스톤즈', '오버더톱 @롤링스톤즈', '조금 다른 밴드 콘서트 @CJ아지트 광흥창', '위대한 락데이 @FF', 'ABTB PETSOUNDS LIVE @펫사운즈', '오버더탑 vol.2 @롤링스톤즈', 'ALIVE @FF', '오버더탑 vol.3 @롤링스톤즈', '라이브클럽데이 51 @컨벤트', 'LIKE A STONE @FF', '오버더탑 X 락코홀릭 @롤링스톤즈', 'FF 15TH ANNIVERSARY', ""<블랙홀 1집 트리뷰트 - RE-ENCOUNTER THE MIRACLE> 앨범 발매, 싱글 '노을', '깊은 밤의 서정곡' 참여"", 'LEARN TO FLY @롤링스톤즈', 'HARD ROCK CAMPAIGN @FF', '오버더탑 vol.5 @롤링스톤즈', 'ABTB 어쿠스틱 @303라이브카페']
년도: 2020, 활동내용: [""싱글 '무리수' 발매"", ""싱글 'a-void' 발매"", '새 앨범 발매 음감회 @살롱문보우', '2집 『daydream』 발매']
년도: 2021, 활동내용: []
년도: 2022, 활동내용: ['단독공연 @벤더', '3집 『iii』 발매', '단독공연 @CJ아지트']
년도: 2023, 활동내용: ['단독공연 ‘Coming Home’ @스트레인지프룻']
"
Arch Enemy,아티스트명,Arch Enemy
Arch Enemy,멤버,"이름: 샬리 단젤로, 역할: 베이스
이름: 마이클 아모트, 역할: 기타
이름: 알리사 화이트, 역할: 보컬
이름: 다니엘 엘란드손, 역할: 드럼
이름: 제프 루미스, 역할: 기타
"
Arch Enemy,결성,1996년
Arch Enemy,국적,스웨덴
Arch Enemy,장르,멜로딕 데스 메탈
Arch Enemy,소개,"Arch Enemy는 1996년 결성된 스웨덴의 멜로딕 데스 메탈 밴드로, 멜로딕 데스 메탈 장르의 대표격인 밴드이다. 카르카스 출신의 기타리스트 마이클 아모트가 동생 크리스토퍼 아모트와 함께 결성하였다. 초기에는 요한 리바가 보컬을 담당했으나, 이후 안젤라 고소우와 현재의 보컬인 알리사 화이트로 보컬이 교체되었다."
Arch Enemy,앨범,"정규 앨범:
앨범명: Black Earth, 발매일: 1996년
앨범명: Stigmata, 발매일: 1998년
앨범명: Burning Bridges, 발매일: 1999년
앨범명: Wages of Sin, 발매일: 2001년
앨범명: Anthems of Rebellion, 발매일: 2003년
앨범명: Doomsday Machine, 발매일: 2005년
앨범명: Rise of the Tyrant, 발매일: 2007년
앨범명: Khaos Legions, 발매일: 2011년
앨범명: War Eternal, 발매일: 2014년
앨범명: Will To Power, 발매일: 2017년
앨범명: Deceivers, 발매일: 2022년
비정규 앨범:
앨범명: Burning Japan Live, 발매일: 1999년
앨범명: Burning Angel, 발매일: 2002년
앨범명: Dead Eyes See No Future, 발매일: 2004년
앨범명: Live Apocalypse, 발매일: 2006년
앨범명: Tyrants of the Rising Sun, 발매일: 2008년
앨범명: The Root of All Evil, 발매일: 2009년
앨범명: As The Stages Burn!, 발매일: 2017년
"
Arch Enemy,활동,"년도: 2014, 활동내용: ['보컬 안젤라 고소우 탈퇴 및 알리사 화이트 영입', ""신곡 'War Eternal' 공개""]
년도: 2015, 활동내용: ['3월 8일 내한 공연', ""트위터를 통해 한국어로 '감사합니다!' 인사""]
년도: 2017, 활동내용: [""9월 8일 신보 'Will to Power' 발매""]
년도: 2018, 활동내용: ['4월 14일 내한 공연']
년도: 2024, 활동내용: ['4월 24일 내한 공연 예정']
"
Arch Enemy,기타,기타리스트 마이클 아모트는 '스피리츄얼 베거스(Spiritual Beggars)'라는 밴드도 결성하여 활동 중이다.마이클 아모트의 첫 일렉 기타는 'ARIRANG'이라는 한국산 기타였다.
BEAK,이름,BEAK
BEAK,출신지,일본
BEAK,소속그룹,니코틴 (멜로코어 펑크 밴드)MAYKIDZ
BEAK,활동 시작,1993년 (니코틴에서 드러머로 활동 시작)
BEAK,솔로 활동,2013년부터 'Drum only rock show'라는 솔로 드럼 공연 형태로 전국 47개의 도도부현을 돌면서 솔로 드러머로서 병행 활동 중
Black Country. New Road,이름,Black Country. New Road
Black Country. New Road,출신지,영국 런던
Black Country. New Road,장르,아트 록포스트 펑크포스트 록챔버 팝
Black Country. New Road,활동기간,2018년 ~ 현재
Black Country. New Road,레이블,Ninja TuneSpeedy Wunderground
Black Country. New Road,멤버,찰리 웨인 (드럼)타일러 하이드 (베이스)루크 마크 (기타)루이스 에반스 (관악기)조지아 엘러리 (현악기)메이 커쇼 (키보드)
Black Country. New Road,전 구성원,아이작 우드
Black Country. New Road,요약,"블랙 컨트리, 뉴 로드 (Black Country, New Road, BCNR)는 영국 런던을 기반으로 하는 아트 록, 챔버 팝 밴드로, 2018년에 결성되었습니다. 셰임, 블랙 미디와 함께 런던 지역에서 주목받고 있으며, 재즈와 포스트 록의 영향을 받은 포스트 펑크 스타일을 가지고 있습니다. 이후 챔버 팝과 아트 록 스타일로 변화하였습니다."
